Cluster_ID,Centroid_Lat,Centroid_Lon,Total_POI,parlimen,dun
69,3.004564333,101.4021573,3,P.110 Klang,N.47 Pandamaran
70,3.008712648,101.5992952,6,P.103 Puchong,N.29 Seri Serdang
71,3.013537353,101.6971479,5,P.103 Puchong,N.28 Seri Kembangan
72,3.016939633,101.7039296,3,P.103 Puchong,N.29 Seri Serdang
73,3.0180774,101.6754039,3,P.104 Subang,N.30 Kinrara
74,3.021379367,101.5798761,3,P.111 Kota Raja,N.50 Kota Kemuning
75,3.0237767,101.741629,4,P.102 Bangi,N.27 Balakong
76,3.025061461,101.7509777,4,P.102 Bangi,N.27 Balakong
77,3.026369743,101.5813826,7,P.104 Subang,N.31 Subang Jaya
78,3.027216672,101.4284214,4,P.110 Klang,N.47 Pandamaran
79,3.027970757,101.7184931,10,P.103 Puchong,N.28 Seri Kembangan
80,3.0307494,101.7088537,4,P.103 Puchong,N.28 Seri Kembangan
81,3.04013605,101.7931674,10,P.102 Bangi,N.25 Kajang
82,3.042519659,101.4275186,7,P.109 Kapar,N.44 Selat Klang
83,3.044775733,101.5177499,7,P.108 Shah Alam,N.41 Batu Tiga
84,3.045630307,101.6211381,4,P.104 Subang,N.30 Kinrara
85,3.046213433,101.7597766,3,P.102 Bangi,N.27 Balakong
86,3.046928767,101.7395632,3,P.102 Bangi,N.27 Balakong
87,3.050182971,101.4440608,4,P.110 Klang,N.45 Bandar Baru Klang
88,3.050133633,101.7648432,3,P.102 Bangi,N.27 Balakong
89,3.052079231,101.4628918,6,P.110 Klang,N.45 Bandar Baru Klang
90,3.053831,101.6703033,3,P.122 Seputeh,P.122 Seputeh
91,3.05448711,101.7878975,6,P.102 Bangi,N.25 Kajang
92,3.0555642,101.6048848,3,P.104 Subang,N.31 Subang Jaya
93,3.056651333,101.5416297,5,P.108 Shah Alam,N.41 Batu Tiga
94,3.057406404,101.4911722,5,P.108 Shah Alam,N.40 Kota Anggerik
95,3.061637703,101.7109416,5,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
96,3.062309367,101.6642146,3,P.122 Seputeh,P.122 Seputeh
97,3.062579636,101.481812,9,P.108 Shah Alam,N.40 Kota Anggerik
98,3.063902235,101.6161687,4,P.104 Subang,N.31 Subang Jaya
99,3.063767967,101.6970408,3,P.122 Seputeh,P.122 Seputeh
100,3.066057343,101.6092424,6,P.104 Subang,N.31 Subang Jaya
101,3.068238833,101.7054356,3,P.122 Seputeh,P.122 Seputeh
102,3.072421102,101.6075513,8,P.105 Petaling Jaya,N.32 Seri Setia
103,3.0744591,101.560375,3,P.108 Shah Alam,N.41 Batu Tiga
104,3.074831167,101.6114924,3,P.105 Petaling Jaya,N.32 Seri Setia
105,3.075992167,101.5516822,3,P.108 Shah Alam,N.40 Kota Anggerik
106,3.077170167,101.6635813,3,P.122 Seputeh,P.122 Seputeh
107,3.078996367,101.4206692,3,P.109 Kapar,N.43 Sementa
108,3.0803392,101.6175534,3,P.105 Petaling Jaya,N.32 Seri Setia
109,3.081834523,101.5851336,4,P.105 Petaling Jaya,N.32 Seri Setia
110,3.081676333,101.5594345,3,P.105 Petaling Jaya,N.32 Seri Setia
